X_mm,Y_mm,Z_mm,Bx_mT,By_mT,Bz_mT,Magnitud_mT
20,20,10,37.33118712555354,-1.7758860935883902,-19.74777226273888,42.26991616932182
25,20,10,21.9109778289061,3.289846125853657,-37.975965726440904,43.96689674978692
30,20,10,18.1261324895882,0.4480555283981147,-13.066782793469656,22.349457383980216
35,20,10,20.984445143199714,21.092934047881883,4.024659331409708,30.02426830832279
40,20,10,-33.41603180361684,-19.85021309177163,28.133828926445233,47.98098030836344
45,20,10,-25.794109127313895,-26.46723266760249,1.678996842200931,36.9955335297236
50,20,10,35.01880465419136,-26.034921056990015,-24.30395651388085,49.94813406005001
55,20,10,10.692637929371081,27.300686675071816,0.7498587141117312,29.329546312723593
60,20,10,-0.9916744336238352,-34.52441771199119,11.34485769469648,36.354155644812714
60,25,10,-16.149725720590638,4.447183746155588,-5.647345560319373,17.67720554839017
55,25,10,-22.376913887076874,-17.18517017362542,-24.04342904554604,37.06943254589049
50,25,10,22.591389837764552,12.236068771883296,-28.457539414750926,38.3395855915816
45,25,10,14.09952107227005,1.6115073097496762,27.584479000907564,31.020911205641173
40,25,10,1.4406851426413425,-25.265652856650107,-12.63942869945388,28.287522793655114
35,25,10,39.054008129239676,-26.804869716780246,-29.793292368469125,55.95852805109657
30,25,10,-35.991354618493936,-12.326518144860195,30.208474719736074,48.57851996245549
25,25,10,29.41121618639012,-27.929184119511383,11.527458325119674,42.16564073486271
20,25,10,4.773735565426037,-4.273421737719609,-5.901593303832719,8.7108833146169
20,30,10,-3.8127307731507543,-30.491385726973288,-22.3591113711635,38.00251808509134
25,30,10,-7.602562418792871,0.5838976494370485,-10.594763566089949,13.053310186232718
30,30,10,21.97286967689918,-6.996752306446943,22.13272148390479,31.962773736956354
35,30,10,-33.73090820422032,17.60839968275547,-17.42009445167359,41.84841213683537
40,30,10,-13.837951037027931,23.543524709589782,13.560605484199975,30.49059634956918
45,30,10,-25.67473800193018,-27.168994993579084,17.24640340085533,41.167765189452744
50,30,10,26.986729567461524,-20.141379084606488,22.444864450052727,40.46888513856499
55,30,10,-4.139774361593979,-27.095224351199015,-23.17978511735234,35.89695464093504
60,30,10,29.105759086786406,-13.239731757704245,-3.3594002758068413,32.15153618798179
60,35,10,17.144235988679128,-28.98843165689021,14.408778593985197,36.63150144523428
55,35,10,-33.84090383775175,30.0772659510135,32.70137223726876,55.850053230452424
50,35,10,-38.17417182209108,13.611478465829606,19.052847148728745,44.78337554049602
45,35,10,14.820714316029004,-6.8974428855267575,-23.150931320355426,28.340675930476053
40,35,10,0.8640116276303758,19.73380414512299,-29.48581955597784,35.49060575727666
35,35,10,30.159527860151314,-36.95583332716392,27.609796620410293,55.114713163299534
30,35,10,33.95696146260332,-34.49781049173527,26.320643080230596,55.099459277322296
25,35,10,-15.518599562612803,9.648628851965391,16.427591727320234,24.572113076966446
20,35,10,13.484232931634814,16.42450364556847,31.631657112335944,38.107093689105575
20,40,10,1.8339993003562398,-4.047301419521084,-30.621606294131443,30.942316885568783
25,40,10,25.452675282080193,-4.072090631636421,-9.294462853245584,27.400869344924793
30,40,10,29.254827298327143,6.870486801695847,-14.977132059478215,33.57622661756788
35,40,10,4.062583820747612,-31.043971621315407,0.7553111582776637,31.317778597331188
40,40,10,26.064673885491857,-9.120437008803854,22.890079389355805,35.86788717557268
45,40,10,5.94995878761879,19.85137162972797,-14.050917524213382,25.03811591210843
50,40,10,3.3924192718828223,16.69597223256443,-32.38069009544234,36.589248261803384
55,40,10,8.094931369260017,0.7744376580475887,2.5844768050462505,8.532712811002968
60,40,10,-0.001975268276687814,-9.617716482488188,-3.432285088380489,10.211809593168528
60,45,10,-13.07541278023944,-39.1803009153896,24.386794768119458,47.96642740768283
55,45,10,-8.99421423766995,24.462410183032617,13.813399880093009,29.49771886033556
50,45,10,13.685040075337291,10.438731136818582,-14.379563263013189,22.428091074484517
45,45,10,1.2371936986033276,8.192736365029887,-26.648382289567564,27.90677079215159
40,45,10,19.10179360565479,-3.15126781993974,3.6372085351838166,19.698687615027456
35,45,10,-14.149965671583917,36.74492360704053,-35.97713896754157,53.33634284129393
30,45,10,5.01411283181546,39.07959892772641,-27.887546837813375,48.27081570134657
25,45,10,9.426924799987574,-4.744690739144531,25.18828210515072,27.30986189645419
20,45,10,-21.193389161714933,-13.853876841088457,-34.321274639949415,42.650199772085216
20,50,10,6.402989430239607,-19.94127826924135,16.4122040876388,26.608519231054274
25,50,10,0.8651187056975758,3.3401140650000016,-22.099702257362654,22.367423459268586
